site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CVMS 00OCT22 2000.8077 51839 1085 0  -89.6  -3945 -0.548324   3934661  0.187420    72  0.948386  0.0000 0.001141 0.001333 0.005301 -0.080158  0.084288 -0.110093  35.5414213416  -89.6435094631    72.94839
CVMS 00OCT23 2000.8104 51840 1085 1  -89.6  -3945 -0.547485   3934661  0.185846    72  0.940456  0.0000 0.001131 0.001449 0.005418 -0.007970  0.064762 -0.035464  35.5414213274  -89.6435094543    72.94046
CVMS 00OCT24 2000.8131 51841 1085 2  -89.6  -3945 -0.550611   3934661  0.188341    72  0.950649  0.0000 0.001152 0.001377 0.005249 -0.057520  0.034462 -0.072727  35.5414213499  -89.6435094892    72.95065
CVMS 00OCT27 2000.8214 51844 1085 5  -89.6  -3945 -0.551308   3934661  0.184973    72  0.955294  0.0000 0.001191 0.001503 0.005926 -0.035005  0.102694 -0.028850  35.5414213194  -89.6435094981    72.95529
CVMS 00OCT28 2000.8241 51845 1085 6  -89.6  -3945 -0.551337   3934661  0.188325    72  0.951296  0.0000 0.001161 0.001362 0.005469 -0.064820  0.058958 -0.043182  35.5414213496  -89.6435094988    72.95130
CVMS 00OCT29 2000.8268 51846 1086 0  -89.6  -3945 -0.547852   3934661  0.185951    72  0.948357  0.0000 0.001206 0.001449 0.005524 -0.098515  0.016625 -0.101502  35.5414213282  -89.6435094608    72.94836
CVMS 00OCT30 2000.8296 51847 1086 1  -89.6  -3945 -0.549533   3934661  0.184317    72  0.950499  0.0000 0.001303 0.001585 0.006416 -0.089330  0.023887 -0.082558  35.5414213134  -89.6435094798    72.95050
CVMS 00OCT31 2000.8323 51848 1086 2  -89.6  -3945 -0.549848   3934661  0.187541    72  0.943963  0.0000 0.001250 0.001541 0.005949 -0.102853 -0.020288  0.022880  35.5414213424  -89.6435094837    72.94396
CVMS 00NOV02 2000.8378 51850 1086 4  -89.6  -3945 -0.551636   3934661  0.187691    72  0.949580  0.0000 0.001159 0.001403 0.005558 -0.161022  0.023985 -0.154740  35.5414213437  -89.6435095042    72.94958
CVMS 00NOV03 2000.8405 51851 1086 5  -89.6  -3945 -0.551405   3934661  0.188721    72  0.946004  0.0000 0.001110 0.001324 0.005187 -0.072363 -0.070824 -0.107844  35.5414213530  -89.6435095021    72.94600
CVMS 00NOV04 2000.8433 51852 1086 6  -89.6  -3945 -0.551034   3934661  0.186047    72  0.952881  0.0000 0.001184 0.001395 0.005671 -0.087549 -0.048294 -0.108783  35.5414213288  -89.6435094984    72.95288
CVMS 00NOV05 2000.8460 51853 1087 0  -89.6  -3945 -0.549647   3934661  0.185306    72  0.955296  0.0000 0.001144 0.001360 0.005340 -0.107970 -0.016001 -0.085382  35.5414213221  -89.6435094835    72.95530
CVMS 00NOV06 2000.8487 51854 1087 1  -89.6  -3945 -0.551697   3934661  0.183206    72  0.961008  0.0000 0.001468 0.001596 0.007055 -0.088743 -0.233776 -0.193025  35.5414213032  -89.6435095065    72.96101
CVMS 00NOV07 2000.8515 51855 1087 2  -89.6  -3945 -0.551430   3934661  0.187965    72  0.951493  0.0000 0.001403 0.001550 0.006591 -0.093249  0.032033 -0.125307  35.5414213460  -89.6435095040    72.95149
CVMS 00NOV09 2000.8569 51857 1087 4  -89.6  -3945 -0.544580   3934661  0.186095    72  0.953643  0.0000 0.001209 0.001336 0.005566 -0.065494 -0.070477 -0.136081  35.5414213291  -89.6435094293    72.95364
CVMS 00NOV10 2000.8597 51858 1087 5  -89.6  -3945 -0.523265   3934661  0.184511    72  0.985492  0.0000 0.001264 0.001364 0.005985 -0.065580  0.112048 -0.308030  35.5414213148  -89.6435091947    72.98549
CVMS 00NOV12 2000.8652 51860 1088 0  -89.6  -3945 -0.550947   3934661  0.188683    72  0.964565  0.0000 0.001168 0.001351 0.005423 -0.088486 -0.024091 -0.061013  35.5414213523  -89.6435095008    72.96456
CVMS 00NOV13 2000.8679 51861 1088 1  -89.6  -3945 -0.550686   3934661  0.187090    72  0.947518  0.0000 0.001122 0.001369 0.005286 -0.079709  0.025306 -0.028533  35.5414213379  -89.6435094983    72.94752
