site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TN49 10MAR18 2010.2094 55273 1575 4  -89.5  -1731 -0.246507   3961142  0.224128    95  0.156333  0.0000 0.000725 0.000793 0.002818  0.002511  0.014419 -0.157378  35.7800907776  -89.5191496995    95.15633
TN49 10MAR19 2010.2122 55274 1575 5  -89.5  -1731 -0.245917   3961142  0.224535    95  0.153509  0.0000 0.000749 0.000800 0.002924 -0.023213  0.055163 -0.166404  35.7800907813  -89.5191496934    95.15351
TN49 10MAR20 2010.2149 55275 1575 6  -89.5  -1731 -0.245222   3961142  0.223046    95  0.156921  0.0000 0.000731 0.000805 0.002904  0.006821  0.016305 -0.172186  35.7800907678  -89.5191496861    95.15692
TN49 10MAR21 2010.2177 55276 1576 0  -89.5  -1731 -0.246431   3961142  0.224873    95  0.162759  0.0000 0.000746 0.000819 0.002986 -0.018545  0.059422 -0.140264  35.7800907843  -89.5191496999    95.16276
TN49 10MAR22 2010.2204 55277 1576 1  -89.5  -1731 -0.246349   3961142  0.225057    95  0.159212  0.0000 0.000725 0.000807 0.002824 -0.027850  0.049883 -0.089955  35.7800907859  -89.5191496994    95.15921
TN49 10MAR23 2010.2231 55278 1576 2  -89.5  -1731 -0.245701   3961142  0.224988    95  0.156665  0.0000 0.000731 0.000799 0.002839 -0.041753  0.085860 -0.175780  35.7800907852  -89.5191496926    95.15667
TN49 10MAR24 2010.2259 55279 1576 3  -89.5  -1731 -0.246057   3961142  0.224313    95  0.155754  0.0000 0.000745 0.000802 0.002895 -0.034531  0.032653 -0.178722  35.7800907791  -89.5191496970    95.15575
TN49 10MAR25 2010.2286 55280 1576 4  -89.5  -1731 -0.247575   3961142  0.225451    95  0.162295  0.0000 0.000767 0.000832 0.003037 -0.001002  0.036217 -0.140123  35.7800907893  -89.5191497142    95.16229
TN49 10MAR26 2010.2313 55281 1576 5  -89.5  -1731 -0.246294   3961142  0.224281    95  0.154416  0.0000 0.000740 0.000809 0.002901 -0.006109  0.030557 -0.133567  35.7800907788  -89.5191497005    95.15442
TN49 10MAR27 2010.2341 55282 1576 6  -89.5  -1731 -0.245529   3961142  0.223946    95  0.155789  0.0000 0.000747 0.000812 0.002923 -0.020790  0.045814 -0.123508  35.7800907757  -89.5191496924    95.15579
TN49 10MAR28 2010.2368 55283 1577 0  -89.5  -1731 -0.247044   3961142  0.223509    95  0.158237  0.0000 0.000768 0.000817 0.002989 -0.019409  0.065590 -0.133720  35.7800907717  -89.5191497096    95.15824
TN49 10MAR29 2010.2396 55284 1577 1  -89.5  -1731 -0.245738   3961142  0.223656    95  0.158763  0.0000 0.000772 0.000826 0.003034  0.035065 -0.036911 -0.180350  35.7800907730  -89.5191496956    95.15876
TN49 10MAR30 2010.2423 55285 1577 2  -89.5  -1731 -0.245441   3961142  0.223599    95  0.162330  0.0000 0.000792 0.000854 0.003196  0.035115  0.026790 -0.129591  35.7800907725  -89.5191496927    95.16233
TN49 10MAR31 2010.2450 55286 1577 3  -89.5  -1731 -0.245594   3961142  0.225631    95  0.163944  0.0000 0.000755 0.000823 0.002948  0.001806  0.048887 -0.133064  35.7800907908  -89.5191496948    95.16394
TN49 10APR01 2010.2478 55287 1577 4  -89.5  -1731 -0.245812   3961142  0.223994    95  0.164091  0.0000 0.000753 0.000844 0.003038 -0.003246  0.004813 -0.117568  35.7800907760  -89.5191496977    95.16409
TN49 10APR02 2010.2505 55288 1577 5  -89.5  -1731 -0.245492   3961142  0.223156    95  0.164239  0.0000 0.000775 0.000860 0.003055 -0.052931  0.069852 -0.133395  35.7800907684  -89.5191496945    95.16424
TN49 10APR03 2010.2533 55289 1577 6  -89.5  -1731 -0.244595   3961142  0.223609    95  0.169110  0.0000 0.000784 0.000845 0.003167  0.025996  0.006842 -0.174790  35.7800907724  -89.5191496851    95.16911
TN49 10APR04 2010.2560 55290 1578 0  -89.5  -1731 -0.244673   3961142  0.223078    95  0.162863  0.0000 0.000753 0.000833 0.002972 -0.028463  0.035372 -0.135540  35.7800907676  -89.5191496863    95.16286
TN49 10APR05 2010.2587 55291 1578 1  -89.5  -1731 -0.245680   3961142  0.225463    95  0.160606  0.0000 0.000762 0.000846 0.003097 -0.037745  0.029488 -0.094012  35.7800907891  -89.5191496979    95.16061
TN49 10APR06 2010.2615 55292 1578 2  -89.5  -1731 -0.245826   3961142  0.224196    95  0.163386  0.0000 0.000761 0.000836 0.002968 -0.001916  0.002485 -0.148619  35.7800907776  -89.5191496999    95.16339
TN49 10APR07 2010.2642 55293 1578 3  -89.5  -1731 -0.245802   3961142  0.223572    95  0.166897  0.0000 0.000782 0.000828 0.003098 -0.034824  0.065628 -0.151674  35.7800907720  -89.5191497001    95.16690
TN49 10APR08 2010.2669 55294 1578 4  -89.5  -1731 -0.246680   3961142  0.225857    95  0.165203  0.0000 0.000763 0.000826 0.002955 -0.016040  0.048286 -0.115811  35.7800907925  -89.5191497102    95.16520
TN49 10APR09 2010.2697 55295 1578 5  -89.5  -1731 -0.244802   3961142  0.225950    95  0.162910  0.0000 0.000789 0.000830 0.003103  0.023252  0.101104 -0.108089  35.7800907933  -89.5191496899    95.16291
TN49 10APR10 2010.2724 55296 1578 6  -89.5  -1731 -0.246332   3961142  0.226818    95  0.154817  0.0000 0.000763 0.000820 0.002994  0.004465  0.038642 -0.121083  35.7800908011  -89.5191497072    95.15482
TN49 10APR11 2010.2752 55297 1579 0  -89.5  -1731 -0.245471   3961142  0.226615    95  0.156585  0.0000 0.000758 0.000832 0.003051 -0.022178  0.073326 -0.111019  35.7800907993  -89.5191496981    95.15658
TN49 10APR12 2010.2779 55298 1579 1  -89.5  -1731 -0.246001   3961142  0.227664    95  0.152474  0.0000 0.000738 0.000837 0.002902 -0.000591  0.064804 -0.054361  35.7800908087  -89.5191497044    95.15247
TN49 10APR13 2010.2806 55299 1579 2  -89.5  -1731 -0.244474   3961142  0.227253    95  0.155900  0.0000 0.000757 0.000832 0.003003 -0.004513  0.042685 -0.109684  35.7800908049  -89.5191496879    95.15590
TN49 10APR14 2010.2834 55300 1579 3  -89.5  -1731 -0.247145   3961142  0.227499    95  0.157625  0.0000 0.000786 0.000838 0.003002 -0.006038  0.057451 -0.090251  35.7800908071  -89.5191497179    95.15763
TN49 10APR15 2010.2861 55301 1579 4  -89.5  -1731 -0.247692   3961142  0.226018    95  0.155010  0.0000 0.000779 0.000844 0.002997 -0.001711  0.056140 -0.062451  35.7800907938  -89.5191497244    95.15501
TN49 10APR16 2010.2888 55302 1579 5  -89.5  -1731 -0.250197   3961142  0.227021    95  0.155656  0.0000 0.000748 0.000831 0.002964  0.009201  0.030190 -0.074481  35.7800908028  -89.5191497525    95.15566
TN49 10APR17 2010.2916 55303 1579 6  -89.5  -1731 -0.248866   3961142  0.227230    95  0.159960  0.0000 0.000768 0.000844 0.003036 -0.008226 -0.011004 -0.103945  35.7800908046  -89.5191497382    95.15996
TN49 10APR18 2010.2943 55304 1580 0  -89.5  -1731 -0.248449   3961142  0.225472    95  0.157494  0.0000 0.000777 0.000855 0.003075 -0.011393  0.024639 -0.150082  35.7800907887  -89.5191497340    95.15749
TN49 10APR19 2010.2971 55305 1580 1  -89.5  -1731 -0.249285   3961142  0.225518    95  0.156625  0.0000 0.000753 0.000826 0.002993 -0.009625  0.086394 -0.127522  35.7800907891  -89.5191497437    95.15663
TN49 10APR20 2010.2998 55306 1580 2  -89.5  -1731 -0.248126   3961142  0.226746    95  0.162407  0.0000 0.000789 0.000863 0.003136 -0.018990  0.068272 -0.096931  35.7800908001  -89.5191497313    95.16241
TN49 10APR21 2010.3025 55307 1580 3  -89.5  -1731 -0.248750   3961142  0.226793    95  0.162218  0.0000 0.000792 0.000834 0.003091 -0.023355  0.104413 -0.089610  35.7800908005  -89.5191497386    95.16222
TN49 10APR22 2010.3053 55308 1580 4  -89.5  -1731 -0.246810   3961142  0.225470    95  0.165819  0.0000 0.000780 0.000863 0.003122 -0.033700  0.107735 -0.115850  35.7800907886  -89.5191497176    95.16582
TN49 10APR23 2010.3080 55309 1580 5  -89.5  -1731 -0.247579   3961142  0.226284    95  0.170497  0.0000 0.000801 0.000866 0.003217 -0.006960  0.080092 -0.068434  35.7800907959  -89.5191497265    95.17050
TN49 10APR24 2010.3107 55310 1580 6  -89.5  -1731 -0.245785   3961142  0.226487    95  0.172275  0.0000 0.000825 0.000910 0.003461  0.019304  0.064367 -0.090818  35.7800907977  -89.5191497070    95.17228
TN49 10APR25 2010.3135 55311 1581 0  -89.5  -1731 -0.248298   3961142  0.225779    95  0.173508  0.0000 0.000748 0.000834 0.002998  0.002453  0.042002 -0.056024  35.7800907913  -89.5191497353    95.17351
TN49 10APR26 2010.3162 55312 1581 1  -89.5  -1731 -0.247607   3961142  0.226486    95  0.168923  0.0000 0.000755 0.000813 0.002963  0.028344  0.050346 -0.061150  35.7800907976  -89.5191497280    95.16892
TN49 10APR27 2010.3190 55313 1581 2  -89.5  -1731 -0.246091   3961142  0.227021    95  0.164513  0.0000 0.000791 0.000848 0.003099  0.000494  0.055139 -0.112542  35.7800908024  -89.5191497117    95.16451
TN49 10APR28 2010.3217 55314 1581 3  -89.5  -1731 -0.245982   3961142  0.225681    95  0.161742  0.0000 0.000749 0.000812 0.002971 -0.019172  0.071787 -0.072557  35.7800907903  -89.5191497109    95.16174
TN49 10APR29 2010.3244 55315 1581 4  -89.5  -1731 -0.245613   3961142  0.223951    95  0.170801  0.0000 0.000767 0.000832 0.002996 -0.005759  0.024331 -0.084341  35.7800907747  -89.5191497072    95.17080
